ID	European %	East Asian %	Native American %	African %	South Asian %	Oceanian %	West Asian %	EUR %
S330	0.404834	0.005798	0.079233	0.069353	0.024946	0.007946	0.40789	0.812724
S331	0.832864	0.017673	0.000011	0.00001	0.055235	0.00001	0.094197	0.927061
S332	0.862294	0.00001	0.00001	0.00001	0.025784	0.00001	0.111882	0.974176
S333	0.00001	0.99994	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002
S334	0.713973	0.00001	0.108812	0.020082	0.02607	0.00001	0.131043	0.845016
S335	0.40209	0.187994	0.19007	0.030342	0.072313	0.00001	0.117181	0.519271
S337	0.99994	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.99995
S338	0.939973	0.00001	0.00001	0.00001	0.013007	0.00001	0.04698	0.986953
S339	0.463113	0.022653	0.207839	0.021518	0.001522	0.00001	0.283345	0.746458
S340	0.920756	0.000012	0.00001	0.00001	0.021103	0.000408	0.057701	0.978457
S341	0.979474	0.00001	0.00001	0.00001	0.020476	0.00001	0.00001	0.979484
S342	0.982155	0.00001	0.00001	0.00001	0.017794	0.00001	0.00001	0.982165
S343	0.293194	0.070149	0.314852	0.044214	0.097699	0.00001	0.179883	0.473077
S344	0.271007	0.107311	0.338412	0.094351	0.046268	0.006817	0.135833	0.40684
S345	0.294086	0.00001	0.419694	0.088914	0.004654	0.000532	0.192109	0.486195
S346	0.876313	0.00001	0.00001	0.00001	0.039627	0.00001	0.08402	0.960333
